date;jour;b1;b2;b3;b4;b5;chance
2009-07-20;LUNDI;5;23;27;34;44;1
2009-07-22;MERCREDI;17;24;28;35;45;6
2009-07-25;SAMEDI;3;14;27;33;40;9
2009-07-27;LUNDI;7;13;18;47;48;4
2009-07-29;MERCREDI;3;14;16;25;35;3
2009-08-01;SAMEDI;10;18;22;44;45;6
2009-08-03;LUNDI;9;18;26;38;49;8
2009-08-05;MERCREDI;10;20;29;40;43;7
2009-08-08;SAMEDI;2;16;20;38;41;9
2009-08-10;LUNDI;2;5;22;24;31;6
2009-08-12;MERCREDI;6;17;33;34;39;5
2009-08-15;SAMEDI;1;24;27;32;41;9
2009-08-17;LUNDI;2;9;14;17;25;9
2009-08-19;MERCREDI;7;28;33;35;42;10
2009-08-22;SAMEDI;8;21;27;29;31;10
2009-08-24;LUNDI;11;18;22;28;33;2
2009-08-26;MERCREDI;7;14;31;38;44;1
2009-08-29;SAMEDI;7;19;23;27;34;7
2009-08-31;LUNDI;1;5;13;16;20;2
2009-09-02;MERCREDI;5;6;12;15;17;1
2009-09-05;SAMEDI;1;17;20;37;44;8
2009-09-07;LUNDI;4;8;21;31;39;2
2009-09-09;MERCREDI;1;7;12;22;23;4
2009-09-12;SAMEDI;4;7;11;29;41;4
2009-09-14;LUNDI;9;18;22;32;43;1
2009-09-16;MERCREDI;7;21;25;30;40;1
2009-09-19;SAMEDI;12;19;27;33;38;7
2009-09-21;LUNDI;3;4;7;38;46;2
2009-09-23;MERCREDI;4;5;24;42;47;6
2009-09-26;SAMEDI;2;21;25;37;43;9
2009-09-28;LUNDI;3;16;20;30;44;4
2009-09-30;MERCREDI;2;5;33;35;40;4
2009-10-03;SAMEDI;7;9;15;47;49;7
2009-10-05;LUNDI;11;12;20;21;32;4
2009-10-07;MERCREDI;1;4;12;21;46;8
2009-10-10;SAMEDI;1;3;16;23;38;3
2009-10-12;LUNDI;7;28;38;43;48;5
2009-10-14;MERCREDI;6;24;35;36;42;2
2009-10-17;SAMEDI;8;12;16;20;49;5
2009-10-19;LUNDI;3;4;6;11;31;1
2009-10-21;MERCREDI;1;10;15;26;49;7
2009-10-24;SAMEDI;15;27;28;38;39;10
2009-10-26;LUNDI;1;3;42;47;49;7
2009-10-28;MERCREDI;7;8;11;30;37;3
2009-10-31;SAMEDI;23;27;30;36;39;2
2009-11-02;LUNDI;9;17;23;34;40;9
2009-11-04;MERCREDI;18;19;22;23;33;1
2009-11-07;SAMEDI;1;3;13;18;41;1
2009-11-09;LUNDI;1;2;3;29;48;9
2009-11-11;MERCREDI;7;17;22;41;47;6
2009-11-14;SAMEDI;16;24;28;39;47;9
2009-11-16;LUNDI;19;20;27;32;36;7
2009-11-18;MERCREDI;1;19;20;22;24;6
2009-11-21;SAMEDI;12;20;33;40;46;6
2009-11-23;LUNDI;3;12;13;30;37;8
2009-11-25;MERCREDI;11;14;15;33;39;6
2009-11-28;SAMEDI;15;35;37;39;41;4
2009-11-30;LUNDI;7;12;23;27;43;6
2009-12-02;MERCREDI;10;20;21;28;47;6
2009-12-05;SAMEDI;7;16;22;28;39;7
2009-12-07;LUNDI;19;20;33;42;43;5
2009-12-09;MERCREDI;1;11;22;23;31;1
2009-12-12;SAMEDI;4;13;18;30;39;1
2009-12-14;LUNDI;8;13;26;38;46;2
2009-12-16;MERCREDI;15;23;30;39;49;5
2009-12-19;SAMEDI;6;9;15;16;40;6
2009-12-21;LUNDI;3;27;28;38;42;9
2009-12-23;MERCREDI;15;17;18;24;44;6
2009-12-26;SAMEDI;6;7;16;25;41;5
2009-12-28;LUNDI;12;15;23;27;46;6
2009-12-30;MERCREDI;2;5;15;21;39;10
2010-01-02;SAMEDI;5;17;23;43;49;4
2010-01-04;LUNDI;18;21;32;33;41;9
2010-01-06;MERCREDI;19;31;38;44;49;3
2010-01-09;SAMEDI;4;14;23;35;46;7
2010-01-11;LUNDI;6;20;24;31;36;4
2010-01-13;MERCREDI;4;7;14;31;37;8
2010-01-16;SAMEDI;3;21;32;33;38;10
2010-01-18;LUNDI;7;8;22;28;38;10
2010-01-20;MERCREDI;13;28;37;45;48;9
2010-01-23;SAMEDI;2;13;24;39;48;1
2010-01-25;LUNDI;6;8;31;36;45;9
2010-01-27;MERCREDI;5;10;15;43;45;9
2010-01-30;SAMEDI;18;21;26;44;47;3
2010-02-01;LUNDI;1;18;29;39;40;2
2010-02-03;MERCREDI;7;13;30;44;48;7
2010-02-06;SAMEDI;5;16;18;34;37;5
2010-02-08;LUNDI;7;13;24;36;42;4
2010-02-10;MERCREDI;6;11;12;19;45;10
2010-02-13;SAMEDI;1;3;7;14;38;5
2010-02-15;LUNDI;8;15;24;39;48;8
2010-02-17;MERCREDI;22;23;26;29;40;5
2010-02-20;SAMEDI;23;34;36;39;49;8
2010-02-22;LUNDI;11;18;24;41;48;2
2010-02-24;MERCREDI;1;2;27;31;45;8
2010-02-27;SAMEDI;2;10;13;35;40;1
2010-03-01;LUNDI;8;11;19;48;49;7
2010-03-03;MERCREDI;2;17;23;25;37;7
2010-03-06;SAMEDI;5;9;18;26;36;9
2010-03-08;LUNDI;10;11;23;43;49;10
2010-03-10;MERCREDI;1;13;36;44;48;2
2010-03-13;SAMEDI;6;8;16;32;37;7
2010-03-15;LUNDI;1;4;15;18;38;6
2010-03-17;MERCREDI;1;9;18;24;46;7
2010-03-20;SAMEDI;2;15;28;36;49;3
2010-03-22;LUNDI;25;29;34;44;47;9
2010-03-24;MERCREDI;8;9;28;35;42;6
2010-03-27;SAMEDI;9;21;42;43;46;6
2010-03-29;LUNDI;2;34;41;44;46;2
2010-03-31;MERCREDI;21;28;39;46;49;1
2010-04-03;SAMEDI;20;35;39;42;48;2
2010-04-05;LUNDI;17;18;21;36;47;6
2010-04-07;MERCREDI;2;11;28;33;43;1
2010-04-10;SAMEDI;13;22;33;36;49;4
2010-04-12;LUNDI;4;11;31;36;46;10
2010-04-14;MERCREDI;2;9;12;21;29;7
2010-04-17;SAMEDI;9;16;24;32;42;3
2010-04-19;LUNDI;2;17;22;38;44;8
2010-04-21;MERCREDI;1;9;24;26;35;4
2010-04-24;SAMEDI;3;17;27;34;41;4
2010-04-26;LUNDI;4;7;24;29;46;10
2010-04-28;MERCREDI;9;25;34;38;49;1
2010-05-01;SAMEDI;3;6;28;39;42;5
2010-05-03;LUNDI;8;11;12;26;48;6
2010-05-05;MERCREDI;4;10;18;27;30;1
2010-05-08;SAMEDI;1;16;29;31;39;2
2010-05-10;LUNDI;4;10;33;35;41;5
2010-05-12;MERCREDI;14;22;23;27;28;4
2010-05-15;SAMEDI;9;27;31;32;44;8
2010-05-17;LUNDI;9;26;27;29;36;5
2010-05-19;MERCREDI;12;17;24;30;38;7
2010-05-22;SAMEDI;2;17;40;46;48;10
2010-05-24;LUNDI;3;8;12;29;35;1
2010-05-26;MERCREDI;3;6;22;35;47;1
2010-05-29;SAMEDI;21;26;33;46;49;1
2010-05-31;LUNDI;5;32;33;46;49;1
2010-06-02;MERCREDI;11;14;17;23;43;10
2010-06-05;SAMEDI;22;31;37;43;45;5
2010-06-07;LUNDI;26;28;29;42;48;1
2010-06-09;MERCREDI;14;20;24;44;48;10
2010-06-12;SAMEDI;15;24;30;43;48;7
2010-06-14;LUNDI;15;23;45;48;49;2
2010-06-16;MERCREDI;3;9;15;40;48;10
2010-06-19;SAMEDI;19;21;23;36;49;4
2010-06-21;LUNDI;24;35;37;45;48;2
2010-06-23;MERCREDI;1;16;27;35;41;1
2010-06-26;SAMEDI;7;11;16;37;47;10
2010-06-28;LUNDI;12;19;41;42;49;8
2010-06-30;MERCREDI;14;17;18;28;44;2
2010-07-03;SAMEDI;2;10;28;33;46;8
2010-07-05;LUNDI;22;31;33;39;43;10
2010-07-07;MERCREDI;20;26;31;47;49;10
2010-07-10;SAMEDI;12;27;30;32;42;7
2010-07-12;LUNDI;11;15;24;38;47;6
2010-07-14;MERCREDI;5;11;26;30;48;1
2010-07-17;SAMEDI;20;22;28;32;47;6
2010-07-19;LUNDI;10;16;24;27;47;5
